group_id,hash,group_size,filepath,filename,class,split,n_splits_spanned,splits_spanned
1,01c81f15b578c0b7a0583a8cc6f74bc4,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\19 (2) - Copy.png,19 (2) - Copy.png,normal,train,1,train
1,01c81f15b578c0b7a0583a8cc6f74bc4,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\19 (2).png,19 (2).png,normal,train,1,train
2,0246900641cdc0ee36de1c0a2bc974ae,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\18 - Copy (3).png,18 - Copy (3).png,normal,train,1,train
2,0246900641cdc0ee36de1c0a2bc974ae,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\18.png,18.png,normal,train,1,train
3,071ffc9dd155d9f3f30c42aca168c0fb,4,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\3 (2) - Copy.png,3 (2) - Copy.png,normal,train,1,train
3,071ffc9dd155d9f3f30c42aca168c0fb,4,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\3 (2).png,3 (2).png,normal,train,1,train
3,071ffc9dd155d9f3f30c42aca168c0fb,4,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\3 - Copy (3).png,3 - Copy (3).png,normal,train,1,train
3,071ffc9dd155d9f3f30c42aca168c0fb,4,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\3.png,3.png,normal,train,1,train
4,08ea225a55d83e937d27c682964a1449,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\13 (2) - Copy.png,13 (2) - Copy.png,normal,train,1,train
4,08ea225a55d83e937d27c682964a1449,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\13 (2).png,13 (2).png,normal,train,1,train
5,0cd58bfa4e7510100f03f928af9b4afc,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\2 - Copy (3).png,2 - Copy (3).png,normal,train,1,train
5,0cd58bfa4e7510100f03f928af9b4afc,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\2.png,2.png,normal,train,1,train
6,0d645c4b19992372a9f6ad52a47729f5,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\17 - Copy (3).png,17 - Copy (3).png,normal,train,1,train
6,0d645c4b19992372a9f6ad52a47729f5,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\17.png,17.png,normal,train,1,train
7,11c2e59052d1ef90a1d6484dbe244eeb,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\16 - Copy - Copy.png,16 - Copy - Copy.png,normal,train,1,train
7,11c2e59052d1ef90a1d6484dbe244eeb,2,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\16 - Copy.png,16 - Copy.png,normal,train,1,train
