filepath,filename,class,label,split,folder,hash,phash,image_group,split_variant
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000108 (3).png,000108 (3).png,adenocarcinoma,0,train,adenocarcinoma,7ef1068051800dd7d290a46a29536a0d,15002412218659913169,1,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000109 (2).png,000109 (2).png,adenocarcinoma,0,test,adenocarcinoma,3e3e3c3547262bf1bbe22103c35bf8c6,10493755255173099313,2,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000109 (4).png,000109 (4).png,adenocarcinoma,0,train,adenocarcinoma,bc495a958a42f9784b0143c8436b449c,14184152754120385648,3,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000109 (5).png,000109 (5).png,adenocarcinoma,0,train,adenocarcinoma,d59879ee8cd67875a0fb477359022516,11067673906545345656,4,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000112 (2).png,000112 (2).png,adenocarcinoma,0,val,adenocarcinoma,b10181ce96004c7ce699ce29855cce19,9647095297097999665,5,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000113 (7).png,000113 (7).png,adenocarcinoma,0,train,adenocarcinoma,39a7092441231ce1003a31ee16fcd57a,14184117277690657892,6,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000114 (5).png,000114 (5).png,adenocarcinoma,0,train,adenocarcinoma,ac6400c79a496bd2ab52e62fcad89665,10714418953998709819,7,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000114.png,000114.png,adenocarcinoma,0,test,adenocarcinoma,03f52753fcdd8cb4c5718b78e176f7ca,15055546517543676988,8,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000115 (4).png,000115 (4).png,adenocarcinoma,0,train,adenocarcinoma,7c354fe3d6c871935838259a5e7a82f5,10489550726941788521,9,leakage_controlled_image_group
C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000115 (8).png,000115 (8).png,adenocarcinoma,0,train,adenocarcinoma,0d1003c80b08cdbd1af8871b65c49df8,9340781007578297961,10,leakage_controlled_image_group
