record_id,model,method,filepath,filename,true_class,pred_class,confidence,correct,category,target_layer,border_energy_fraction,original_path,heatmap_path,overlay_path,status,timestamp
adenocarcinoma_correct_normal_confidence_001,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000135 (5).png,000135 (5).png,adenocarcinoma,adenocarcinoma,0.42428773641586304,True,correct_normal_confidence,pool_extra,0.0,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_normal_confidence_001_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_normal_confidence_001_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_normal_confidence_001_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:11
adenocarcinoma_correct_normal_confidence_001,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000135 (5).png,000135 (5).png,adenocarcinoma,adenocarcinoma,0.42428773641586304,True,correct_normal_confidence,pool_extra,0.4999604271852175,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_normal_confidence_001_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_normal_confidence_001_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_normal_confidence_001_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:11
adenocarcinoma_correct_high_confidence_002,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000171.png,000171.png,adenocarcinoma,adenocarcinoma,0.8961822390556335,True,correct_high_confidence,pool_extra,0.0,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_high_confidence_002_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_high_confidence_002_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_high_confidence_002_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:12
adenocarcinoma_correct_high_confidence_002,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000171.png,000171.png,adenocarcinoma,adenocarcinoma,0.8961822390556335,True,correct_high_confidence,pool_extra,0.6040048424395897,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_high_confidence_002_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_high_confidence_002_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_correct_high_confidence_002_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:12
adenocarcinoma_incorrect_normal_confidence_003,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000149 (4).png,000149 (4).png,adenocarcinoma,large.cell.carcinoma,0.4020344018936157,False,incorrect_normal_confidence,pool_extra,0.7296798172541199,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_normal_confidence_003_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_normal_confidence_003_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_normal_confidence_003_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:12
adenocarcinoma_incorrect_normal_confidence_003,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000149 (4).png,000149 (4).png,adenocarcinoma,large.cell.carcinoma,0.4020344018936157,False,incorrect_normal_confidence,pool_extra,0.6029061309151947,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_normal_confidence_003_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_normal_confidence_003_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_normal_confidence_003_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:12
adenocarcinoma_incorrect_high_confidence_004,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000158 (3).png,000158 (3).png,adenocarcinoma,large.cell.carcinoma,0.7645755410194397,False,incorrect_high_confidence,pool_extra,0.5889801506882804,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_high_confidence_004_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_high_confidence_004_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_high_confidence_004_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:12
adenocarcinoma_incorrect_high_confidence_004,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000158 (3).png,000158 (3).png,adenocarcinoma,large.cell.carcinoma,0.7645755410194397,False,incorrect_high_confidence,pool_extra,0.5429095291678329,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_high_confidence_004_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_high_confidence_004_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\adenocarcinoma_incorrect_high_confidence_004_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:12
large.cell.carcinoma_correct_normal_confidence_005,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\large.cell.carcinoma\000133 (2).png,000133 (2).png,large.cell.carcinoma,large.cell.carcinoma,0.5819500088691711,True,correct_normal_confidence,pool_extra,0.595132849973902,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_normal_confidence_005_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_normal_confidence_005_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_normal_confidence_005_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:12
large.cell.carcinoma_correct_normal_confidence_005,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\large.cell.carcinoma\000133 (2).png,000133 (2).png,large.cell.carcinoma,large.cell.carcinoma,0.5819500088691711,True,correct_normal_confidence,pool_extra,0.5566038566012012,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_normal_confidence_005_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_normal_confidence_005_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_normal_confidence_005_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:12
large.cell.carcinoma_correct_high_confidence_006,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\large.cell.carcinoma\000149.png,000149.png,large.cell.carcinoma,large.cell.carcinoma,0.8191360235214233,True,correct_high_confidence,pool_extra,0.7222368950964374,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_high_confidence_006_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_high_confidence_006_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_high_confidence_006_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:12
large.cell.carcinoma_correct_high_confidence_006,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\large.cell.carcinoma\000149.png,000149.png,large.cell.carcinoma,large.cell.carcinoma,0.8191360235214233,True,correct_high_confidence,pool_extra,0.560365872217402,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_high_confidence_006_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_high_confidence_006_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_correct_high_confidence_006_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:12
large.cell.carcinoma_incorrect_normal_confidence_007,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\large.cell.carcinoma\000147 (2).png,000147 (2).png,large.cell.carcinoma,squamous.cell.carcinoma,0.5248028635978699,False,incorrect_normal_confidence,pool_extra,,,,,"failed: degenerate heatmap: {'finite': True, 'nonzero': False, 'varies': False, 'reliable': False}",2026-09-05T08:44:13.064346
large.cell.carcinoma_incorrect_normal_confidence_007,MiniConvNet,gradcam_plusplus,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\large.cell.carcinoma\000147 (2).png,000147 (2).png,large.cell.carcinoma,squamous.cell.carcinoma,0.5248028635978699,False,incorrect_normal_confidence,pool_extra,0.6262527168551787,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_incorrect_normal_confidence_007_MiniConvNet_gradcam_plusplus_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_incorrect_normal_confidence_007_MiniConvNet_gradcam_plusplus_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\large.cell.carcinoma_incorrect_normal_confidence_007_MiniConvNet_gradcam_plusplus_overlay.png,ok,2026-09-05T08:44:13
normal_correct_high_confidence_008,MiniConvNet,gradcam,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\Data\test\normal\10 - Copy.png,10 - Copy.png,normal,normal,0.9938371777534485,True,correct_high_confidence,pool_extra,0.4707775566740333,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\normal_correct_high_confidence_008_MiniConvNet_gradcam_original.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\normal_correct_high_confidence_008_MiniConvNet_gradcam_heatmap.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\gradcam\images\normal_correct_high_confidence_008_MiniConvNet_gradcam_overlay.png,ok,2026-09-05T08:44:13
